| tgname                        | tgtype | pg_get_triggerdef                                                                                                                                                                                              |
| ----------------------------- | ------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| RI_ConstraintTrigger_a_103376 | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_103376" AFTER DELETE ON auth.users FROM provider_referral_codes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_setnull_del"()     |
| RI_ConstraintTrigger_a_103377 | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_103377" AFTER UPDATE ON auth.users FROM provider_referral_codes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()    |
| RI_ConstraintTrigger_a_103395 | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_103395" AFTER DELETE ON auth.users FROM provider_referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_setnull_del"()          |
| RI_ConstraintTrigger_a_103396 | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_103396" AFTER UPDATE ON auth.users FROM provider_referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()         |
| RI_ConstraintTrigger_a_103400 | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_103400" AFTER DELETE ON auth.users FROM provider_referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_setnull_del"()          |
| RI_ConstraintTrigger_a_103401 | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_103401" AFTER UPDATE ON auth.users FROM provider_referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()         |
| RI_ConstraintTrigger_a_16735  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_16735" AFTER DELETE ON auth.users FROM auth.identities NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()              |
| RI_ConstraintTrigger_a_16736  | 17     | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_16736" AFTER UPDATE ON auth.users FROM auth.identities NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()             |
| RI_ConstraintTrigger_a_16763  | 9      | CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_16763" AFTER DELETE ON auth.users FROM auth.sessions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()                |
