name,ttl,type,value
"www.mycarconcierge.com","3600","NETLIFY","deft-capybara-078770.netlify.app"
"mycarconcierge.com","3600","NETLIFY","deft-capybara-078770.netlify.app"
"mycarconcierge.com","3600","TXT","MS=ms61140266"
"mycarconcierge.com","3600","TXT","v=spf1 include:secureserver.net -all"
"autodiscover.mycarconcierge.com","3600","CNAME","autodiscover.outlook.com"
"email.mycarconcierge.com","3600","CNAME","email.secureserver.net"
"mycarconcierge.com","3600","MX","mycarconcierge-com.mail.protection.outlook.com"
"_dmarc.mycarconcierge.com","3600","TXT","v=DMARC1; p=none; rua=mailto:jordan@mycarconcierge.com"
"resend._domainkey.mycarconcierge.com","3600","TXT","p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCW+XF+3Z90faMPNGIxNQVkCMXfB/C4Q4owqeM4W38pu1oMkkDXcQdNlNnoeziAR+d7URBtAzGfmEKEpvA4hNTVZHUz3snBAlre0zKkF6Qy3iMU1Xk02zuiUNOJgDnguixFlCm6p67b65kGphE/14+Bq0lpV0gRUdptXN3HY6RWMwIDAQAB"
"send.mycarconcierge.com","3600","MX","feedback-smtp.us-east-1.amazonses.com"
"send.mycarconcierge.com","3600","TXT","v=spf1 include:amazonses.com ~all"
