# fk-constraints.txt - pg_constraint dump from mcc-production
# Generated 2026-07-16 via mcp__supabase__execute_sql
# Format: conname	source_table	definition

additional_work_requests_package_id_fkey	additional_work_requests	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE CASCADE
additional_work_requests_provider_id_fkey	additional_work_requests	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
agent_actions_agent_slug_fkey	agent_actions	FOREIGN KEY (agent_slug) REFERENCES agents(slug) ON DELETE CASCADE
agent_actions_event_id_fkey	agent_actions	FOREIGN KEY (event_id) REFERENCES agent_events(id) ON DELETE SET NULL
agent_daily_spend_agent_slug_fkey	agent_daily_spend	FOREIGN KEY (agent_slug) REFERENCES agents(slug) ON DELETE CASCADE
agent_dead_letter_original_event_id_fkey	agent_dead_letter	FOREIGN KEY (original_event_id) REFERENCES agent_events(id) ON DELETE SET NULL
agent_dead_letter_replay_event_id_fkey	agent_dead_letter	FOREIGN KEY (replay_event_id) REFERENCES agent_events(id) ON DELETE SET NULL
agent_memory_agent_slug_fkey	agent_memory	FOREIGN KEY (agent_slug) REFERENCES agents(slug) ON DELETE CASCADE
agent_prompt_versions_agent_slug_fkey	agent_prompt_versions	FOREIGN KEY (agent_slug) REFERENCES agents(slug) ON DELETE CASCADE
agent_spend_alerts_agent_slug_fkey	agent_spend_alerts	FOREIGN KEY (agent_slug) REFERENCES agents(slug) ON DELETE CASCADE
ai_messages_conversation_id_fkey	ai_messages	FOREIGN KEY (conversation_id) REFERENCES ai_conversations(id) ON DELETE CASCADE
anniversary_notifications_partner_id_fkey	anniversary_notifications	FOREIGN KEY (partner_id) REFERENCES founding_provider_partners(id)
bgc_notifications_bgc_check_id_fkey	bgc_notifications	FOREIGN KEY (bgc_check_id) REFERENCES employee_background_checks(id) ON DELETE CASCADE
bgc_notifications_employee_id_fkey	bgc_notifications	FOREIGN KEY (employee_id) REFERENCES provider_employees(id) ON DELETE CASCADE
bid_credit_purchases_pack_id_fkey	bid_credit_purchases	FOREIGN KEY (pack_id) REFERENCES bid_packs(id)
bid_credit_purchases_provider_id_fkey	bid_credit_purchases	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
bids_package_id_fkey	bids	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE CASCADE
bids_provider_id_fkey	bids	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
bulk_service_batches_approved_by_fkey	bulk_service_batches	FOREIGN KEY (approved_by) REFERENCES auth.users(id)
bulk_service_batches_created_by_fkey	bulk_service_batches	FOREIGN KEY (created_by) REFERENCES auth.users(id)
bulk_service_batches_fleet_id_fkey	bulk_service_batches	FOREIGN KEY (fleet_id) REFERENCES fleets(id) ON DELETE CASCADE
bulk_service_bids_provider_id_fkey	bulk_service_bids	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
bulk_service_items_batch_id_fkey	bulk_service_items	FOREIGN KEY (batch_id) REFERENCES bulk_service_batches(id) ON DELETE CASCADE
bulk_service_items_package_id_fkey	bulk_service_items	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE SET NULL
bulk_service_items_vehicle_id_fkey	bulk_service_items	FOREIGN KEY (vehicle_id) REFERENCES vehicles(id) ON DELETE CASCADE
campaign_leads_campaign_id_fkey	campaign_leads	FOREIGN KEY (campaign_id) REFERENCES outreach_campaigns(id) ON DELETE CASCADE
campaign_leads_lead_id_fkey	campaign_leads	FOREIGN KEY (lead_id) REFERENCES outreach_leads(id) ON DELETE CASCADE
cancellation_payouts_cancellation_id_fkey	cancellation_payouts	FOREIGN KEY (cancellation_id) REFERENCES ride_cancellations(id) ON DELETE RESTRICT
cancellation_payouts_driver_id_fkey	cancellation_payouts	FOREIGN KEY (driver_id) REFERENCES drivers(id) ON DELETE RESTRICT
cancellation_payouts_wallet_debit_id_fkey	cancellation_payouts	FOREIGN KEY (wallet_debit_id) REFERENCES wallet_ledger(id) ON DELETE SET NULL
car_club_benefits_club_id_fkey	car_club_benefits	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
car_club_benefits_provider_id_fkey	car_club_benefits	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
car_club_members_club_id_fkey	car_club_members	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
car_club_members_member_id_fkey	car_club_members	FOREIGN KEY (member_id) REFERENCES profiles(id) ON DELETE CASCADE
car_club_redemptions_benefit_id_fkey	car_club_redemptions	FOREIGN KEY (benefit_id) REFERENCES car_club_benefits(id) ON DELETE CASCADE
car_club_redemptions_member_id_fkey	car_club_redemptions	FOREIGN KEY (member_id) REFERENCES profiles(id) ON DELETE CASCADE
car_club_redemptions_provider_id_fkey	car_club_redemptions	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
car_club_return_bonuses_club_id_fkey	car_club_return_bonuses	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
car_club_return_bonuses_member_id_fkey	car_club_return_bonuses	FOREIGN KEY (member_id) REFERENCES profiles(id) ON DELETE CASCADE
car_club_return_bonuses_provider_id_fkey	car_club_return_bonuses	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
car_evaluation_bids_evaluation_id_fkey	car_evaluation_bids	FOREIGN KEY (evaluation_id) REFERENCES car_evaluations(id) ON DELETE CASCADE
car_evaluation_bids_salesperson_id_fkey	car_evaluation_bids	FOREIGN KEY (salesperson_id) REFERENCES profiles(id) ON DELETE CASCADE
car_evaluations_member_id_fkey	car_evaluations	FOREIGN KEY (member_id) REFERENCES profiles(id) ON DELETE CASCADE
car_reports_provider_id_fkey	car_reports	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
care_plan_completions_accepted_bid_id_fkey	care_plan_completions	FOREIGN KEY (accepted_bid_id) REFERENCES plan_bids(id) ON DELETE SET NULL
care_plan_completions_care_plan_id_fkey	care_plan_completions	FOREIGN KEY (care_plan_id) REFERENCES care_plans(id) ON DELETE CASCADE
care_plan_completions_member_id_fkey	care_plan_completions	FOREIGN KEY (member_id) REFERENCES auth.users(id) ON DELETE CASCADE
care_plan_completions_provider_id_fkey	care_plan_completions	FOREIGN KEY (provider_id) REFERENCES auth.users(id) ON DELETE SET NULL
care_plans_accepted_bid_id_fkey	care_plans	FOREIGN KEY (accepted_bid_id) REFERENCES plan_bids(id) ON DELETE SET NULL
